isla,Marine reserves,Certified fisheries,FIPs,Surveillance,Restock programs ,Ecological monitoring,,,,
Natividad,1,1,1,1,1,1,,,,
Todos_Santos,0,0,0,1,1,0.189055444,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Valores estandarizados,
,,,,,,,,,IN,ITS
,,,,,,,,Marine reserves,1,0
,,,,,,,,Certified fisheries,1,0
,,,,,,,,FIPs ,1,0
,,,,,,,,Surveillance ,1,1
,,,,,,,,Restocking programs,1,1
,,,,,,,,Ecological monitoring,1,0.189055444
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,Abuncancias relativas,
,,,,,,,,,IN,ITS
,,,,,,,,Marine reserves,0.166666667,0
,,,,,,,,Certified fisheries,0.166666667,0
,,,,,,,,FIPs ,0.166666667,0
,,,,,,,,Surveillance ,0.166666667,0.456818032
,,,,,,,,Restocking programs,0.166666667,0.456818032
,,,,,,,,Ecological monitoring,0.166666667,0.086363936
,,,,,,,,,,
,,,,,,,,PS,42%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
